Unnamed: 0,State,District,Reg_id,date,rainfall_mm
0,Maharashtra,SATARA,8010,2020-07-26,0.1
1,Maharashtra,SOLAPUR,7,2020-07-26,0.2
2,Maharashtra,AURANGABAD,4002,2020-07-26,0.0
3,Maharashtra,AURANGABAD,4003,2020-07-26,0.0
4,Maharashtra,BEED,5005,2020-07-26,0.0
5,Maharashtra,BULDHANA,7008,2018-01-14,0.0
6,Maharashtra,WARDHA,2002,2020-07-26,0.0
7,Maharashtra,AKOLA,2004,2020-07-26,0.0
8,Maharashtra,OSMANABAD,2001,2018-01-18,0.0
9,Maharashtra,BEED,5001,2018-01-13,0.0
10,Maharashtra,NANDED,9011,2018-01-18,0.0
11,Maharashtra,WASHIM,3001,2018-01-15,0.0
12,Maharashtra,AHMEDNAGAR,1001,2020-07-25,8.6
13,Maharashtra,AHMEDNAGAR,1011,2020-07-25,4.0
14,Maharashtra,AHMEDNAGAR,1014,2020-07-25,3.7
15,Maharashtra,AKOLA,2001,2020-07-25,3.2
16,Maharashtra,AKOLA,2002,2020-07-25,7.6
17,Maharashtra,AKOLA,2003,2020-07-25,2.6
18,Maharashtra,AKOLA,2005,2020-07-25,3.2
19,Maharashtra,AMRAVATI,3001,2020-07-25,3.7
20,Maharashtra,AMRAVATI,3002,2020-07-25,4.4
21,Maharashtra,AMRAVATI,3004,2020-07-25,3.7
22,Maharashtra,AMRAVATI,3004,2020-07-25,3.7
23,Maharashtra,AMRAVATI,3007,2020-07-25,7.0
24,Maharashtra,AMRAVATI,3011,2020-07-25,3.7
25,Maharashtra,AURANGABAD,4005,2020-07-25,0.5
26,Maharashtra,AURANGABAD,4009,2020-07-25,1.4
27,Maharashtra,BULDHANA,7003,2020-07-25,0.0
28,Maharashtra,BULDHANA,7006,2020-07-25,0.0
29,Maharashtra,DHULE,9002,2020-07-25,25.1
30,Maharashtra,DHULE,9003,2020-07-25,3.5
31,Maharashtra,WARDHA,2008,2020-07-26,0.0
32,Maharashtra,JALGAON,3005,2020-07-25,1.4
33,Maharashtra,JALGAON,3006,2020-07-25,3.6
34,Maharashtra,LATUR,6004,2020-07-25,0.8
35,Maharashtra,NAGPUR,8008,2020-07-25,0.0
36,Maharashtra,NAGPUR,8012,2020-07-25,0.4
37,Maharashtra,NANDED,9010,2020-07-25,7.0
38,Maharashtra,NASIK,1013,2020-07-25,31.9
39,Maharashtra,OSMANABAD,2001,2020-07-25,0.0
40,Maharashtra,PARBHANI,3001,2020-07-25,4.3
41,Maharashtra,PARBHANI,3005,2020-07-25,0.9
42,Maharashtra,PUNE,4004,2020-07-25,6.7
43,Maharashtra,PUNE,4009,2020-07-25,18.0
44,Maharashtra,SANGLI,7007,2020-07-25,0.9
45,Maharashtra,SANGLI,7008,2020-07-25,9.0
46,Maharashtra,SANGLI,7010,2020-07-25,1.3
47,Maharashtra,SATARA,8004,2020-07-25,0.0
48,Maharashtra,SATARA,8008,2020-07-25,7.4
49,Maharashtra,SOLAPUR,3,2020-07-25,0.0
50,Maharashtra,SOLAPUR,5,2020-07-25,0.0
51,Maharashtra,WARDHA,2004,2020-07-25,0.0
52,Maharashtra,WARDHA,2007,2020-07-25,0.9
53,Maharashtra,SATARA,8002,2020-07-28,5.2
54,Maharashtra,SATARA,8002,2020-07-28,7.0
