Unnamed: 0,State,District,Reg_id,date,mean,max,min
0,Madhya Pradesh,SHEOPUR,3005,2024-01-21,11.647852,18.707727,6.0065246
1,Madhya Pradesh,SHIVPURI,4001,2024-01-21,12.036219,19.53866,5.8483825
2,Madhya Pradesh,SHIVPURI,4002,2024-01-21,11.8727665,19.023554,5.806268
3,Madhya Pradesh,SHIVPURI,4003,2024-01-21,11.977747,19.224482,6.2739196
4,Madhya Pradesh,SHIVPURI,4004,2024-01-21,12.835993,19.057306,7.5779357
5,Madhya Pradesh,SHIVPURI,4005,2024-01-21,12.031519,19.526178,5.5155883
6,Madhya Pradesh,SHIVPURI,4006,2024-01-21,11.766077,19.220148,6.442865
7,Madhya Pradesh,SHIVPURI,4007,2024-01-21,12.550928,19.118341,7.371759
8,Madhya Pradesh,SHIVPURI,4008,2024-01-21,12.135492,19.341333,5.529535
9,Madhya Pradesh,SHIVPURI,4009,2024-01-21,11.992823,19.35113,5.913812
10,Madhya Pradesh,SHIVPURI,4010,2024-01-21,12.060724,19.36416,5.906305
11,Madhya Pradesh,SHIVPURI,4011,2024-01-21,12.105402,19.5216,5.6744018
12,Madhya Pradesh,SIDHI,5001,2024-01-21,11.96673,19.316706,6.2162414
13,Madhya Pradesh,SIDHI,5002,2024-01-21,11.754206,19.26626,5.7896056
14,Madhya Pradesh,SIDHI,5003,2024-01-21,12.008966,19.6878,5.769983
15,Madhya Pradesh,SIDHI,5004,2024-01-21,12.765833,20.224726,6.037927
16,Madhya Pradesh,SIDHI,5005,2024-01-21,12.227747,19.900812,5.6061034
17,Madhya Pradesh,SIDHI,5006,2024-01-21,11.823267,19.60763,5.297479
18,Madhya Pradesh,SIDHI,5007,2024-01-21,11.944056,19.26687,6.2315917
19,Madhya Pradesh,SINGRAULI,6001,2024-01-21,12.165461,19.169672,6.8354735
20,Madhya Pradesh,SINGRAULI,6002,2024-01-21,12.289026,19.724451,6.239862
21,Madhya Pradesh,SINGRAULI,6003,2024-01-21,13.525324,19.92785,8.213587
22,Madhya Pradesh,SINGRAULI,6004,2024-01-21,12.570032,19.926813,6.1705565
23,Madhya Pradesh,SINGRAULI,6005,2024-01-21,13.724634,19.614038,8.792658
24,Madhya Pradesh,SINGRAULI,6006,2024-01-21,13.239649,19.63415,8.2875
25,Madhya Pradesh,TIKAMGARH,7001,2024-01-21,12.249048,19.158442,7.2049804
26,Madhya Pradesh,TIKAMGARH,7002,2024-01-21,12.206903,19.060633,7.027063
27,Madhya Pradesh,TIKAMGARH,7003,2024-01-21,12.080896,18.840723,6.75802
28,Madhya Pradesh,TIKAMGARH,7004,2024-01-21,12.159754,19.029047,7.013574
29,Madhya Pradesh,TIKAMGARH,7005,2024-01-21,11.94552,18.775965,6.359857
30,Madhya Pradesh,TIKAMGARH,7006,2024-01-21,11.93432,18.824915,6.219232
31,Madhya Pradesh,TIKAMGARH,7007,2024-01-21,12.063471,18.899317,6.8381286
32,Madhya Pradesh,TIKAMGARH,7008,2024-01-21,12.139093,19.000391,7.0004516
33,Madhya Pradesh,UJJAIN,8001,2024-01-21,15.116053,22.211481,9.122522
34,Madhya Pradesh,UJJAIN,8002,2024-01-21,14.466455,21.731836,8.351282
35,Madhya Pradesh,HOSHANGABAD,2001,2024-01-21,15.218256,21.349482,10.231165
36,Madhya Pradesh,HARDA,1006,2024-01-21,15.873163,22.557154,11.107355
37,Madhya Pradesh,HARDA,1005,2024-01-21,16.457026,23.015894,11.673182
38,Madhya Pradesh,HARDA,1004,2024-01-21,16.001764,22.46316,11.245203
39,Madhya Pradesh,HARDA,1003,2024-01-21,16.411402,23.031214,11.613916
40,Madhya Pradesh,HARDA,1002,2024-01-21,16.127222,22.7438,11.366022
41,Madhya Pradesh,HARDA,1001,2024-01-21,16.290583,23.03863,11.4439335
42,Madhya Pradesh,GWALIOR,8,2024-01-21,10.339075,17.767694,5.546411
43,Madhya Pradesh,GWALIOR,7,2024-01-21,10.617762,17.672571,5.7206664
44,Madhya Pradesh,GWALIOR,6,2024-01-21,11.094446,17.674097,5.959192
45,Madhya Pradesh,GWALIOR,5,2024-01-21,11.527369,18.260126,6.511163
46,Madhya Pradesh,GWALIOR,4,2024-01-21,10.865992,18.396265,5.978021
47,Madhya Pradesh,GWALIOR,3,2024-01-21,10.839197,17.948298,5.909662
48,Madhya Pradesh,GWALIOR,2,2024-01-21,11.263147,18.330347,6.2406554
49,Madhya Pradesh,GWALIOR,1,2024-01-21,11.570276,19.115808,6.615808
50,Madhya Pradesh,GUNA,9009,2024-01-21,13.170465,20.141626,7.834314
51,Madhya Pradesh,GUNA,9008,2024-01-21,13.25271,20.187311,8.091547
52,Madhya Pradesh,GUNA,9007,2024-01-21,13.346003,20.311457,7.65011
53,Madhya Pradesh,GUNA,9006,2024-01-21,12.8818,20.059168,7.2391906
54,Madhya Pradesh,GUNA,9005,2024-01-21,12.5038395,19.841639,6.583978
55,Madhya Pradesh,GUNA,9004,2024-01-21,13.396204,20.351831,7.8604064
56,Madhya Pradesh,GUNA,9003,2024-01-21,12.747461,20.037958,6.905603
57,Madhya Pradesh,GUNA,9002,2024-01-21,12.8345585,19.900171,7.2282653
58,Madhya Pradesh,UJJAIN,8003,2024-01-21,14.22677,21.437769,7.998834
59,Madhya Pradesh,GUNA,9001,2024-01-21,12.817316,19.920008,7.3091674
60,Madhya Pradesh,KHANDWA,8006,2024-01-21,16.863031,23.691858,11.772791
61,Madhya Pradesh,KHANDWA,8005,2024-01-21,17.443872,24.473078,11.889704
62,Madhya Pradesh,KHANDWA,8004,2024-01-21,17.376337,24.478205,11.78927
63,Madhya Pradesh,KHANDWA,8003,2024-01-21,17.262354,24.26098,11.904718
64,Madhya Pradesh,KHANDWA,8002,2024-01-21,16.920862,23.651758,11.908197
65,Madhya Pradesh,KHANDWA,8001,2024-01-21,16.621607,23.254328,11.771845
66,Madhya Pradesh,DINDORI,7003,2024-01-21,14.842829,22.362787,8.640863
